Topic,Topic.1,Topic.2,Topic.3,Topic.4,Topic.5,Topic.6,Topic.7,Topic.8,Topic.9
0.00141,0.20026,0.00141,0.00141,0.00141,0.06845,0.00141,0.00141,0.72144,0.00141
0.23644,9.5e-4,0.08988,9.5e-4,9.5e-4,9.5e-4,0.12348,9.5e-4,0.41012,0.13531
0.01193,1.9e-4,1.9e-4,0.05921,0.3249,1.9e-4,1.9e-4,1.9e-4,0.60279,1.9e-4
6e-4,6e-4,0.13627,6e-4,6e-4,0.52461,6e-4,0.3349,6e-4,6e-4
3.6e-4,3.6e-4,0.55975,0.21848,3.6e-4,0.21925,3.6e-4,3.6e-4,3.6e-4,3.6e-4
4.3e-4,4.3e-4,4.3e-4,4.3e-4,0.05378,0.067,4.3e-4,4.3e-4,0.18316,0.69351
0.89998,0.01111,0.01111,0.01111,0.01111,0.01111,0.01111,0.01111,0.01112,0.01111
0.00147,0.39845,0.00147,0.29196,0.2993,0.00147,0.00147,0.00147,0.00147,0.00147
0.00101,0.00101,0.00101,0.99091,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101
3.8e-4,3.8e-4,3.8e-4,0.55826,3.8e-4,0.12293,0.31618,3.8e-4,3.8e-4,3.8e-4
0.68542,0.00154,0.00154,0.00154,0.00154,0.00154,0.30227,0.00154,0.00154,0.00154
0.13015,4.2e-4,4.2e-4,0.10192,4.2e-4,0.25947,0.33443,4.2e-4,0.17194,4.2e-4
0.58406,0.00093000000000000005,0.00093000000000000005,0.00093000000000000005,0.00093000000000000005,0.00093000000000000005,0.00093000000000000005,0.00093000000000000005,0.40846,0.00093000000000000005
0.08521,2.9e-4,2.9e-4,0.04583,2.9e-4,0.00993,2.9e-4,2.9e-4,2.9e-4,0.85731
0.33325,8.2e-4,0.60258,8.2e-4,8.2e-4,8.2e-4,8.2e-4,8.2e-4,8.2e-4,0.05844
2.1e-4,0.18231,2.1e-4,2.1e-4,2.1e-4,0.10222,2.1e-4,0.04509,0.40995,0.25938
